dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.852021,4.242918,1.940000,2.000000,0.000000,0.000000,1.573662
0.020000,2.851905,4.282918,1.980000,2.000000,0.000000,0.000000,1.573754
0.020000,2.851785,4.322918,2.020000,2.000000,0.000000,0.000000,1.573838
0.020000,2.851662,4.362918,2.060000,2.000000,0.000000,0.000000,1.573915
0.020000,2.851535,4.402918,2.100000,2.000000,0.000000,0.000000,1.573985
0.020000,2.851407,4.442917,2.140000,2.000000,0.000000,0.000000,1.574047
0.020000,2.851275,4.482917,2.180000,2.000000,0.000000,0.000000,1.574102
0.020000,2.851142,4.522917,2.220000,2.000000,0.000000,0.000000,1.574149
0.020000,2.851007,4.562917,2.260000,2.000000,0.000000,0.000000,1.574189
0.020000,2.850871,4.602917,2.300000,2.000000,0.000000,0.000000,1.574222
0.020000,2.850733,4.642916,2.340000,2.000000,0.000000,0.000000,1.574247
0.020000,2.850595,4.682916,2.380000,2.000000,0.000000,0.000000,1.574264
0.020000,2.850456,4.722916,2.420000,2.000000,0.000000,0.000000,1.574275
0.020000,2.850317,4.762916,2.460000,2.000000,0.000000,0.000000,1.574278
0.020000,2.850178,4.802883,2.499968,1.996797,-0.160167,-8.008338,1.574273
0.020000,2.850039,4.842754,2.539839,1.990260,-0.326833,-8.333333,1.574261
0.020000,2.849902,4.882460,2.579545,1.980390,-0.493500,-8.333333,1.574242
0.020000,2.849767,4.921935,2.619021,1.967187,-0.660167,-8.333333,1.574216
0.020000,2.849633,4.961114,2.658199,1.950650,-0.826833,-8.333333,1.574183
0.020000,2.849503,4.999928,2.697013,1.930780,-0.993500,-8.333333,1.574143
0.020000,2.849375,5.038311,2.735397,1.907577,-1.160167,-8.333333,1.574096
0.020000,2.849251,5.076197,2.773283,1.881040,-1.326833,-8.333333,1.574044
0.020000,2.849131,5.113519,2.810605,1.851170,-1.493500,-8.333333,1.573986
0.020000,2.849015,5.150210,2.847297,1.817967,-1.660167,-8.333333,1.573922
0.020000,2.848904,5.186204,2.883291,1.781430,-1.826833,-8.333333,1.573854
0.020000,2.848797,5.221434,2.918521,1.741560,-1.993500,-8.333333,1.573781
0.020000,2.848696,5.255865,2.952952,1.701560,-2.000000,-0.324996,1.573705
0.020000,2.848599,5.289496,2.986583,1.661560,-2.000000,0.000000,1.573625
0.020000,2.848508,5.322327,3.019414,1.621560,-2.000000,0.000000,1.573541
0.020000,2.848421,5.354358,3.051445,1.581560,-2.000000,0.000000,1.573455
0.020000,2.848340,5.385589,3.082677,1.541560,-2.000000,0.000000,1.573367
0.020000,2.848263,5.416020,3.113108,1.501560,-2.000000,0.000000,1.573276
0.020000,2.848191,5.445651,3.142739,1.461560,-2.000000,0.000000,1.573184
0.020000,2.848123,5.474482,3.171570,1.421560,-2.000000,-0.000000,1.573090
0.020000,2.848060,5.502513,3.199601,1.381560,-2.000000,0.000000,1.572995
0.020000,2.848002,5.529745,3.226833,1.341560,-2.000000,0.000000,1.572900
0.020000,2.847947,5.556176,3.253264,1.301560,-2.000000,0.000000,1.572804
0.020000,2.847897,5.581807,3.278895,1.261560,-2.000000,0.000000,1.572708
